seed,case,series,x_value,num_goods,num_bidders,scenario,arm,efficiency,efficiency_pct,initial_efficiency,efficiency_gain_from_initial_pct,true_welfare,full_info_welfare,welfare_loss,revenue,full_info_revenue,revenue_difference,revenue_difference_pct,revenue_loss,revenue_absolute_percentage_error,payment_error_over_optimum_welfare,initial_revenue_loss,revenue_loss_improvement_from_initial,surplus,value_queries,demand_queries,nl_queries,person_queries,person_tokens_in,person_tokens_out,person_tokens_total,shared_proxy_tokens_in,shared_proxy_tokens_out,candidate_bundles_generated,candidate_bundles_sent_to_pv,candidate_bundles_truncated,pv_calibration_family,pv_calibration_scale,pv_calibration_size_gamma,pv_calibration_size_threshold,pv_calibration_budget_cap,pv_calibration_config_hash
0,anchor_8x8,anchor,8,8,8,pc_build_8x8_from_spec,proxy clock k=3,0.9823008849557522,98.23008849557522,nan,nan,7215.0,7345.0,130.0,4042.8140000000003,5214.0,-1171.1859999999997,-22.462332182585342,0.2246233218258534,0.2246233218258534,0.19963866575901967,nan,nan,3172.1859999999997,7,0,0,7,7408,3229,10637,36900,7932,684,684,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,anchor_8x8,anchor,8,8,8,pc_build_8x8_from_spec,proxy clock k=3,0.9596469104665826,95.96469104665826,nan,nan,7610.0,7930.0,320.0,5132.942,7084.0,-1951.058,-27.541756070016937,0.2754175607001694,0.2754175607001694,0.30558814627994946,nan,nan,2477.058,5,0,0,5,7547,3945,11492,44525,9115,936,936,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,anchor_8x8,anchor,8,8,8,pc_build_8x8_from_spec,proxy clock k=3,1.0,100.0,nan,nan,7550.0,7550.0,0.0,5424.874,5738.0,-313.1260000000002,-5.457058208434998,0.054570582084349985,0.054570582084349985,0.04147364238410599,nan,nan,2125.126,39,0,0,39,7262,4811,12073,41423,8365,548,548,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,anchor_8x8,anchor,8,8,8,pc_build_8x8_from_spec,proxy clock k=3,0.8726708074534162,87.26708074534162,nan,nan,5620.0,6440.0,820.0,3802.2479999999996,5364.0,-1561.7520000000004,-29.115436241610745,0.2911543624161075,0.2911543624161075,0.9546385093167701,nan,nan,1817.7520000000004,5,0,0,5,7490,4057,11547,56621,11308,864,864,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,anchor_8x8,anchor,8,8,8,pc_build_8x8_from_spec,proxy clock k=3,0.9712837837837838,97.12837837837837,nan,nan,11500.0,11840.0,340.0,8790.16,10430.0,-1639.8400000000001,-15.722339405560882,0.15722339405560884,0.15722339405560884,0.40678040540540533,nan,nan,2709.84,11,0,0,11,7097,3219,10316,50937,10471,756,756,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,bidders_8x4,bidders,4,8,4,pc_build_8x4_from_spec,proxy clock k=3,1.0,100.0,nan,nan,7163.0,7163.0,0.0,3301.7780000000002,3848.0,-546.2219999999998,-14.194958419958413,0.14194958419958414,0.14194958419958414,0.07733100656149665,nan,nan,3861.2219999999998,5,0,0,5,3777,1435,5212,24772,5573,444,444,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,bidders_8x4,bidders,4,8,4,pc_build_8x4_from_spec,proxy clock k=3,0.9075297225891678,90.75297225891677,nan,nan,6870.0,7570.0,700.0,5438.024,4900.5,537.5240000000003,10.968758289970419,-0.10968758289970418,0.10968758289970418,0.17584940554821657,nan,nan,1431.9759999999997,9,0,0,9,3895,2314,6209,28011,5977,612,612,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,bidders_8x4,bidders,4,8,4,pc_build_8x4_from_spec,proxy clock k=3,0.859270190501744,85.92701905017441,nan,nan,6405.0,7454.0,1049.0,4456.69,3660.0,796.6899999999996,21.767486338797802,-0.21767486338797803,0.21767486338797803,0.32479822913871736,nan,nan,1948.3100000000004,49,0,0,49,3666,2535,6201,24101,5051,348,348,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,bidders_8x4,bidders,4,8,4,pc_build_8x4_from_spec,proxy clock k=3,0.9858934169278997,98.58934169278997,nan,nan,6290.0,6380.0,90.0,3688.4300000000003,4498.0,-809.5699999999997,-17.998443752779007,0.17998443752779006,0.17998443752779006,0.16294200626959243,nan,nan,2601.5699999999997,6,0,0,6,3799,2517,6316,29326,6187,428,428,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,bidders_8x4,bidders,4,8,4,pc_build_8x4_from_spec,proxy clock k=3,0.9212267657992564,92.12267657992564,nan,nan,9912.4,10760.0,847.6000000000004,6630.6,5397.4,1233.2000000000007,22.84803794419537,-0.22848037944195368,0.22848037944195368,0.3502230483271377,nan,nan,3281.7999999999993,3,0,0,3,3595,2090,5685,33459,7061,556,556,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
