bidder_id,stratum,positive_goods,interest_density,core_goods,secondary_goods,low_positive_goods,zero_value_goods,substitute_groups,choose_one_groups,can_use_multiple_groups,mean_substitute_group_size,complement_groups,mean_complement_group_size,mean_complement_bonus,budget_cap,saturation_start
enthusiast_gamer,gaming_performance,13,0.8125,6,7,0,3,3,3,0,2,3,3.3333333333333335,323.3333333333333,4200.0,8
value_gamer,gaming_performance,13,0.8125,6,7,0,3,3,3,0,2.6666666666666665,3,3.6666666666666665,168.33333333333334,1700.0,7
streamer_creator,gaming_performance,13,0.8125,5,8,0,3,3,2,1,2.3333333333333335,3,4,503.3333333333333,7000.0,10
overclocker,gaming_performance,13,0.8125,6,3,4,3,3,0,3,2.3333333333333335,3,4.666666666666667,433.3333333333333,6500.0,11
student_builder,budget_office,11,0.6875,5,3,3,5,3,3,0,2,2,5,202.5,1350.0,8
office_user,budget_office,11,0.6875,6,3,2,5,2,2,0,2.5,3,4.666666666666667,166.66666666666666,1650.0,7
family_pc_buyer,budget_office,11,0.6875,6,5,0,5,3,3,0,2,2,5,212.5,1550.0,9
minimalist_user,budget_office,7,0.4375,5,1,1,9,1,1,0,2,2,4.5,117.5,750.0,5
ai_researcher,professional_ai,13,0.8125,5,7,1,3,4,2,2,2.25,3,4,973.3333333333334,9500.0,10
creative_professional,professional_ai,12,0.75,5,7,0,4,4,2,2,2,4,3.5,747.5,8500.0,9
software_developer,professional_ai,13,0.8125,4,8,1,3,4,3,1,2.25,4,3.75,525.0,5000.0,8
data_analyst,professional_ai,13,0.8125,4,9,0,3,5,3,2,2,4,3.75,570.0,6500.0,9
component_reseller,reseller_procurement,16,1.0,6,10,0,0,5,0,5,2.6,4,5,420.0,15000.0,11
small_business_it,reseller_procurement,12,0.75,7,5,0,4,4,0,4,2,3,5,200.0,6000.0,8
home_server_operator,reseller_procurement,13,0.8125,6,7,0,3,4,0,4,2.5,4,4.75,333.75,7000.0,9
system_integrator,reseller_procurement,16,1.0,9,7,0,0,5,0,5,2.6,5,5,442.0,22000.0,12
