metric,value
master_goods,16
master_bidders,16
bidder_strata,4
good_categories,8
mean_population_interest_density,0.78125
min_population_interest_density,0.4375
max_population_interest_density,1.0
mean_positive_bidders_per_good,12.5
min_positive_bidders_per_good,9
max_positive_bidders_per_good,16
choose_one_groups,27
can_use_multiple_groups,29
complement_groups,52
accepted_scalability_cells,95
mean_sample_interest_density,0.8162797569320126
mean_full_information_winners,2.957894736842105
median_full_information_winners,3
mean_largest_winner_welfare_share,0.5930971525361368
max_largest_winner_welfare_share,0.884272997032641
mean_allocated_good_share,1.0
all_cells_contested_on_every_good,True
all_cells_passed_validation,True
