series,num_goods,num_bidders,seeds,distinct_good_sets,distinct_bidder_sets,mean_pairwise_good_jaccard,mean_pairwise_bidder_jaccard
anchor,8,8,5,5,5,0.3816050616050616,0.29113553113553114
bidders,8,4,5,5,5,0.3816050616050616,0.15238095238095237
bidders,8,5,5,5,5,0.3816050616050616,0.1734126984126984
bidders,8,6,5,5,5,0.3816050616050616,0.21484848484848484
bidders,8,7,5,5,5,0.3816050616050616,0.22848484848484849
bidders,8,9,5,5,5,0.3816050616050616,0.36120879120879124
bidders,8,10,5,5,5,0.3816050616050616,0.4249084249084249
goods,4,8,5,5,5,0.2914285714285714,0.29113553113553114
goods,5,8,5,5,5,0.2619047619047619,0.29113553113553114
goods,6,8,5,5,5,0.26151515151515153,0.29113553113553114
goods,7,8,5,5,5,0.34414141414141414,0.29113553113553114
goods,9,8,5,5,5,0.4848651348651349,0.29113553113553114
goods,10,8,5,5,5,0.5362637362637362,0.29113553113553114
joint,4,4,5,5,5,0.2914285714285714,0.15238095238095237
joint,5,5,5,5,5,0.2619047619047619,0.1734126984126984
joint,6,6,5,5,5,0.26151515151515153,0.21484848484848484
joint,7,7,5,5,5,0.34414141414141414,0.22848484848484849
joint,9,9,5,5,5,0.4848651348651349,0.36120879120879124
joint,10,10,5,5,5,0.5362637362637362,0.4249084249084249
