seed,case,series,num_goods,num_bidders,selected_goods,selected_bidders,good_categories,bidder_strata,mean_interest_density,bidders_with_exclusions,surviving_substitute_groups,distinct_substitute_groups,bidders_with_substitutes,surviving_complement_groups,distinct_complement_groups,bidders_with_complements,contested_goods,min_positive_bidders_per_good,mean_positive_bidders_per_good,full_information_welfare,full_information_winners,largest_winner_welfare_share,allocated_good_share,validation_passed
0,goods_4x8,goods,4,8,CPU_MID|RAM_64|SSD_4TB|SSD_2TB,office_user|creative_professional|software_developer|system_integrator|overclocker|small_business_it|minimalist_user|ai_researcher,3,4,0.875,3,5,1,5,1,1,1,4,5,7,3864.0,2,0.5082815734989649,1.0,True
0,bidders_8x4,bidders,8,4,CPU_MID|RAM_64|SSD_4TB|SSD_2TB|CPU_HI|MB_STD|GPU_VALUE|RAM_32,office_user|creative_professional|software_developer|system_integrator,5,3,0.8125,2,9,3,4,4,3,4,8,2,3.25,7163.0,3,0.5430685466983107,1.0,True
0,joint_4x4,joint,4,4,CPU_MID|RAM_64|SSD_4TB|SSD_2TB,office_user|creative_professional|software_developer|system_integrator,3,3,0.9375,1,3,1,3,1,1,1,4,3,3.75,3864.0,2,0.5082815734989649,1.0,True
0,goods_5x8,goods,5,8,CPU_MID|RAM_64|SSD_4TB|SSD_2TB|CPU_HI,office_user|creative_professional|software_developer|system_integrator|overclocker|small_business_it|minimalist_user|ai_researcher,3,4,0.825,4,10,2,6,1,1,1,5,5,6.6,5364.0,2,0.6457867263236391,1.0,True
0,bidders_8x5,bidders,8,5,CPU_MID|RAM_64|SSD_4TB|SSD_2TB|CPU_HI|MB_STD|GPU_VALUE|RAM_32,office_user|creative_professional|software_developer|system_integrator|overclocker,5,4,0.8,3,11,3,5,4,3,4,8,2,4,7215.0,4,0.5391545391545391,1.0,True
0,joint_5x5,joint,5,5,CPU_MID|RAM_64|SSD_4TB|SSD_2TB|CPU_HI,office_user|creative_professional|software_developer|system_integrator|overclocker,3,4,0.88,2,7,2,4,1,1,1,5,3,4.4,5364.0,2,0.6457867263236391,1.0,True
0,goods_6x8,goods,6,8,CPU_MID|RAM_64|SSD_4TB|SSD_2TB|CPU_HI|MB_STD,office_user|creative_professional|software_developer|system_integrator|overclocker|small_business_it|minimalist_user|ai_researcher,4,4,0.8125,6,10,2,6,3,2,3,6,5,6.5,6640.0,2,0.5858433734939759,1.0,True
0,bidders_8x6,bidders,8,6,CPU_MID|RAM_64|SSD_4TB|SSD_2TB|CPU_HI|MB_STD|GPU_VALUE|RAM_32,office_user|creative_professional|software_developer|system_integrator|overclocker|small_business_it,5,4,0.8125,4,13,3,6,4,3,4,8,3,4.875,7215.0,4,0.5391545391545391,1.0,True
0,joint_6x6,joint,6,6,CPU_MID|RAM_64|SSD_4TB|SSD_2TB|CPU_HI|MB_STD,office_user|creative_professional|software_developer|system_integrator|overclocker|small_business_it,4,4,0.8611111111111112,4,8,2,5,3,2,3,6,4,5.166666666666667,6640.0,2,0.5858433734939759,1.0,True
0,goods_7x8,goods,7,8,CPU_MID|RAM_64|SSD_4TB|SSD_2TB|CPU_HI|MB_STD|GPU_VALUE,office_user|creative_professional|software_developer|system_integrator|overclocker|small_business_it|minimalist_user|ai_researcher,5,4,0.75,6,10,2,6,3,2,3,7,3,6,7045.0,3,0.5521646557842441,1.0,True
