series,x_value,num_cases,num_seeds,full_powerset_count_mean,full_powerset_count_min,full_powerset_count_max,interested_item_powerset_count_mean,interested_item_powerset_count_min,interested_item_powerset_count_max,inferred_candidate_count_mean,inferred_candidate_count_min,inferred_candidate_count_max,oracle_candidate_count_mean,oracle_candidate_count_min,oracle_candidate_count_max,pv_candidate_count_sent_mean,pv_candidate_count_sent_min,pv_candidate_count_sent_max,pv_api_call_count_mean,pv_api_call_count_min,pv_api_call_count_max,exclusion_reduction_pct_mean,exclusion_reduction_pct_min,exclusion_reduction_pct_max,substitute_reduction_pct_of_full_mean,substitute_reduction_pct_of_full_min,substitute_reduction_pct_of_full_max,substitute_reduction_pct_of_interested_support_mean,substitute_reduction_pct_of_interested_support_min,substitute_reduction_pct_of_interested_support_max,total_reduction_pct_mean,total_reduction_pct_min,total_reduction_pct_max,mean_item_precision_mean,mean_item_precision_min,mean_item_precision_max,mean_item_recall_mean,mean_item_recall_min,mean_item_recall_max,mean_item_f1_mean,mean_item_f1_min,mean_item_f1_max,mean_group_item_set_precision_mean,mean_group_item_set_precision_min,mean_group_item_set_precision_max,mean_group_item_set_recall_mean,mean_group_item_set_recall_min,mean_group_item_set_recall_max,mean_mode_accuracy_on_matched_groups_mean,mean_mode_accuracy_on_matched_groups_min,mean_mode_accuracy_on_matched_groups_max,mean_exact_group_and_mode_recall_mean,mean_exact_group_and_mode_recall_min,mean_exact_group_and_mode_recall_max,mean_choose_one_precision_mean,mean_choose_one_precision_min,mean_choose_one_precision_max,mean_choose_one_recall_mean,mean_choose_one_recall_min,mean_choose_one_recall_max,mean_complement_group_precision_mean,mean_complement_group_precision_min,mean_complement_group_precision_max,mean_complement_group_recall_mean,mean_complement_group_recall_min,mean_complement_group_recall_max,mean_candidate_set_precision_mean,mean_candidate_set_precision_min,mean_candidate_set_precision_max,mean_candidate_set_recall_mean,mean_candidate_set_recall_min,mean_candidate_set_recall_max,total_missed_positive_items_mean,total_missed_positive_items_min,total_missed_positive_items_max,total_missed_oracle_candidates_mean,total_missed_oracle_candidates_min,total_missed_oracle_candidates_max,total_dangerous_false_exclusivity_mean,total_dangerous_false_exclusivity_min,total_dangerous_false_exclusivity_max,person_answer_first_attempt_success_rate_mean,person_answer_first_attempt_success_rate_min,person_answer_first_attempt_success_rate_max,mean_person_answer_repairs_mean,mean_person_answer_repairs_min,mean_person_answer_repairs_max,interest_map_first_attempt_success_rate_mean,interest_map_first_attempt_success_rate_min,interest_map_first_attempt_success_rate_max,mean_interest_map_retries_mean,mean_interest_map_retries_min,mean_interest_map_retries_max
bidders,4,5,5,1020.0,1020.0,1020.0,597.6,380.0,892.0,477.6,348.0,612.0,477.6,348.0,612.0,477.6,348.0,612.0,8.8,6.0,12.0,41.411764705882355,12.549019607843137,62.745098039215684,11.76470588235294,1.5686274509803921,27.45098039215686,18.032167502075456,2.797202797202797,31.390134529147982,53.17647058823529,40.0,65.88235294117646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
bidders,5,5,5,1275.0,1275.0,1275.0,654.2,411.0,1019.0,526.2,379.0,707.0,526.2,379.0,707.0,526.2,379.0,707.0,10.0,7.0,14.0,48.69019607843137,20.07843137254902,67.76470588235294,10.03921568627451,1.2549019607843137,24.470588235294116,17.284463619926765,2.6533996683250414,30.618253189401376,58.72941176470588,44.549019607843135,70.27450980392157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
bidders,6,5,5,1530.0,1530.0,1530.0,752.4,474.0,1050.0,622.0,442.0,730.0,622.0,442.0,730.0,622.0,442.0,730.0,11.8,8.0,15.0,50.8235294117647,31.372549019607842,69.01960784313725,8.522875816993464,1.3071895424836601,20.915032679738562,14.995401852257723,3.236245954692557,30.476190476190474,59.34640522875817,52.287581699346404,71.11111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
bidders,7,5,5,1785.0,1785.0,1785.0,802.6,489.0,1113.0,665.0,453.0,801.0,667.4,465.0,801.0,665.0,453.0,801.0,13.0,9.0,16.0,55.03641456582633,37.64705882352941,72.60504201680672,7.708683473389356,1.1204481792717087,17.92717086834734,14.869713979768957,3.0816640986132513,28.751123090745732,62.74509803921569,55.12605042016807,74.6218487394958,1.0,1.0,1.0,0.9942857142857143,0.9714285714285714,1.0,0.9968253968253968,0.9841269841269842,1.0,0.9857142857142858,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9850931677018634,0.9254658385093167,1.0,0.2,0.0,1.0,2.4,0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
bidders,8,5,5,2040.0,2040.0,2040.0,929.6,616.0,1368.0,757.6,548.0,936.0,760.0,560.0,936.0,757.6,548.0,936.0,14.8,11.0,19.0,54.431372549019606,32.94117647058823,69.80392156862744,8.431372549019608,0.9803921568627451,21.176470588235293,16.264781694967294,2.577319587628866,31.57894736842105,62.86274509803921,54.11764705882353,73.13725490196079,1.0,1.0,1.0,0.995,0.975,1.0,0.9972222222222222,0.9861111111111112,1.0,0.9875,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9869565217391304,0.9347826086956522,1.0,0.2,0.0,1.0,2.4,0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
bidders,9,5,5,2295.0,2295.0,2295.0,1069.4,839.0,1431.0,866.2,719.0,1007.0,868.6,719.0,1007.0,866.2,719.0,1007.0,16.8,15.0,20.0,53.40305010893246,37.64705882352941,63.44226579520697,8.854030501089325,1.5686274509803921,18.823529411764707,17.07598999550158,4.290822407628129,30.18867924528302,62.25708061002179,56.12200435729847,68.67102396514161,1.0,1.0,1.0,0.9955555555555555,0.9777777777777777,1.0,0.9975308641975309,0.9876543209876544,1.0,0.9814814814814815,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9884057971014493,0.9420289855072463,1.0,0.2,0.0,1.0,2.4,0.0,12.0,0.0,0.0,0.0,0.9777777777777777,0.8888888888888888,1.0,0.02222222222222222,0.0,0.1111111111111111,1.0,1.0,1.0,0.0,0.0,0.0
bidders,10,5,5,2550.0,2550.0,2550.0,1203.2,840.0,1558.0,1000.0,804.0,1262.0,1002.4,804.0,1262.0,1000.0,804.0,1262.0,19.2,16.0,23.0,52.8156862745098,38.90196078431372,67.05882352941177,7.968627450980392,1.411764705882353,16.941176470588236,15.107217209758945,4.285714285714286,29.548563611491108,60.78431372549019,50.509803921568626,68.47058823529412,1.0,1.0,1.0,0.996,0.98,1.0,0.9977777777777778,0.9888888888888889,1.0,0.9833333333333333,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9895652173913043,0.9478260869565217,1.0,0.2,0.0,1.0,2.4,0.0,12.0,0.0,0.0,0.0,0.96,0.9,1.0,0.060000000000000005,0.0,0.2,1.0,1.0,1.0,0.0,0.0,0.0
goods,4,5,5,120.0,120.0,120.0,80.4,66.0,92.0,78.0,64.0,92.0,78.0,64.0,92.0,78.0,64.0,92.0,8.0,8.0,8.0,33.0,23.333333333333332,45.0,2.0,0.0,10.0,3.1578947368421053,0.0,15.789473684210526,35.0,23.333333333333332,46.666666666666664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.875,1.0,0.05,0.0,0.125,1.0,1.0,1.0,0.0,0.0,0.0
goods,5,5,5,248.0,248.0,248.0,140.8,96.0,176.0,131.6,82.0,176.0,131.6,82.0,176.0,131.6,82.0,176.0,8.0,8.0,8.0,43.225806451612904,29.032258064516128,61.29032258064516,3.709677419354839,0.0,9.67741935483871,7.055617147080562,0.0,14.634146341463415,46.935483870967744,29.032258064516128,66.93548387096774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.875,1.0,0.05,0.0,0.125,0.95,0.875,1.0,0.05,0.0,0.125
goods,6,5,5,504.0,504.0,504.0,251.2,168.0,336.0,222.4,146.0,272.0,222.4,146.0,272.0,222.4,146.0,272.0,8.0,8.0,8.0,50.15873015873016,33.333333333333336,66.66666666666667,5.7142857142857135,1.9841269841269842,12.698412698412698,10.919521654815773,4.8076923076923075,19.047619047619047,55.87301587301587,46.03174603174603,71.03174603174604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.875,1.0,0.025,0.0,0.125,0.9,0.5,1.0,0.125,0.0,0.625
