series,x_value,mechanism,cases,efficiency_mean,efficiency_sd,efficiency_min,efficiency_max,value_queries_mean,payment_error_mean,revenue_error_mean
bidders,4,Initial PV,5,0.8620893916553943,0.11794416564936953,0.6863197026022305,1.0,0,nan,nan
bidders,4,Sealed,5,0.9083109514465525,0.06581378646888496,0.8438871473354232,1.0,22.0,0.33369062178735615,0.1324889805745132
bidders,4,Clock,5,0.9347840191636135,0.05808233125488195,0.859270190501744,1.0,14.4,0.21822873916903213,0.09912911113670177
bidders,5,Initial PV,5,0.886969790572073,0.12524998399320958,0.6812546125461255,1.0,0,nan,nan
bidders,5,Sealed,5,0.9350699331802441,0.06214163075593712,0.8445130131473034,1.0,21.8,0.32499187569532073,0.13600525477828176
bidders,5,Clock,5,0.9365946843710794,0.05721804232299932,0.859270190501744,1.0,14.0,0.2544163735350896,0.09792670513598636
bidders,6,Initial PV,5,0.8596743120816006,0.11983853149952546,0.6812546125461255,1.0,0,nan,nan
bidders,6,Sealed,5,0.9380465194367161,0.06536959924327208,0.8438871473354232,1.0,21.6,0.3425143728514182,0.12486114235423205
bidders,6,Clock,5,0.9146802339723644,0.0765294037835391,0.7913907284768212,1.0,8.4,0.31623309453459036,0.08494657822286811
bidders,7,Initial PV,5,0.8637560481578339,0.1173443805534948,0.6812546125461255,1.0,0,nan,nan
bidders,7,Sealed,5,0.947397843452395,0.050465498848835486,0.8894039735099337,1.0,22.2,0.3802232239417561,0.1274438347232932
bidders,7,Clock,5,0.9546427082267656,0.042068906837263505,0.9144280442804428,1.0,14.4,0.2732327809342789,0.08833313984049077
bidders,8,Initial PV,5,0.8812904348919401,0.08077744700709633,0.7521739130434782,0.9618788291354663,0,nan,nan
bidders,8,Sealed,5,0.9908293288745891,0.012214307210039934,0.9712837837837838,1.0,26.2,0.2506951340572474,0.1410812301005388
bidders,8,Clock,5,0.9571804773319069,0.049526299197916915,0.8726708074534162,1.0,13.4,0.3816238738290501,0.16559405589020976
bidders,9,Initial PV,5,0.8616023757842348,0.09349205455576953,0.7521739130434782,0.9618788291354663,0,nan,nan
bidders,9,Sealed,5,0.9655244599484698,0.052660080213226754,0.8734272300469483,1.0,27.4,0.3516237049377158,0.1377473806093018
bidders,9,Clock,5,0.9469518519162456,0.0637675397317401,0.8340845070422536,0.9861286254728878,13.6,0.3378552682925241,0.14735459118987293
bidders,10,Initial PV,5,0.8588073447283342,0.09769577850386335,0.7381987577639751,0.9618788291354663,0,nan,nan
bidders,10,Sealed,5,0.9654494192801348,0.043437698782046286,0.8893896713615024,0.9962168978562421,23.8,0.34520242781389804,0.13746666222017934
bidders,10,Clock,5,0.9626318430491024,0.030321759791388975,0.9107981220657277,0.9861286254728878,11.8,0.4125743002040269,0.1405918931579829
goods,4,Initial PV,5,0.8271190559895453,0.20940941655270717,0.4571687370600414,0.9488206497552292,0,nan,nan
goods,4,Sealed,5,0.9721783295076565,0.02922420985115521,0.9252573932092005,1.0,14.4,0.34119129342163895,0.07394993570365682
goods,4,Clock,5,0.9491517869634312,0.06607838735218988,0.8356625258799172,1.0,8.2,0.42162120390092334,0.13393931930003247
goods,5,Initial PV,5,0.912244501810517,0.036473233234127794,0.8597194388777555,0.9424460431654677,0,nan,nan
goods,5,Sealed,5,0.9754301475294004,0.027735343243066812,0.9328859060402684,1.0,16.0,0.34507325964507246,0.14517082426400957
goods,5,Clock,5,0.9467756084921298,0.04971729169232744,0.8977955911823647,1.0,12.8,0.33490509028107884,0.1640755689235397
goods,6,Initial PV,5,0.8559674349547054,0.09205602346250466,0.7356130268199234,0.9683734939759037,0,nan,nan
goods,6,Sealed,5,0.9408315561500028,0.07738016456826237,0.8093373493975904,0.9952107279693486,25.6,0.37265607561141695,0.1631963910882121
goods,6,Clock,5,0.9464468379193456,0.05861792992338022,0.8560240963855422,1.0,19.4,0.40328275554252707,0.0908091747374404
goods,7,Initial PV,5,0.8942334039579752,0.08591723109682176,0.7916093023255814,0.9823529411764705,0,nan,nan
goods,7,Sealed,5,0.9301877230877647,0.07168536288701445,0.8202980837473386,0.9991596638655462,23.6,0.5124941386646725,0.11363474763945944
goods,7,Clock,5,0.8969150510441333,0.13043235527755076,0.6719659332860185,0.9991596638655462,13.0,0.48602282288128834,0.16037438103328555
goods,8,Initial PV,5,0.8812904348919401,0.08077744700709633,0.7521739130434782,0.9618788291354663,0,nan,nan
goods,8,Sealed,5,0.9908293288745891,0.012214307210039934,0.9712837837837838,1.0,26.2,0.2506951340572474,0.1410812301005388
goods,8,Clock,5,0.9571804773319069,0.049526299197916915,0.8726708074534162,1.0,13.4,0.3816238738290501,0.16559405589020976
goods,9,Initial PV,5,0.8097974696023394,0.1270519127844484,0.593029315960912,0.9299191374663073,0,nan,nan
goods,9,Sealed,5,0.9239310738939717,0.12370366575565983,0.7102931596091205,0.9973045822102425,40.2,0.3814794453829814,0.14983559941880598
goods,9,Clock,5,0.8809984925866962,0.16129493490652466,0.607100977198697,0.9942950285248574,16.2,0.45781308133476023,0.19146036843771538
