treatment,mechanism,seeds,mean_efficiency,mean_revenue,mean_revenue_abs_error,mean_revenue_loss,mean_payment_error_over_optimum_welfare,mean_surplus,mean_value_queries,mean_demand_queries
incumbent_only,clock,5,0.9368624250097621,5974.522800000001,791.4771999999999,0.12043537766987777,0.38638466995588916,1767.3771999999997,86.8,0.0
incumbent_only,sealed,5,0.9220255452079243,5087.4504,1678.5496000000003,0.25935259870601296,0.6893525398333905,2571.1496,11.2,0.0
plus_counterfactuals,clock,5,0.9362947828642827,5243.1792000000005,1522.8208,0.24906505211458282,0.5885007580395684,2496.4208,20.0,0.0
plus_counterfactuals,sealed,5,0.9563585400112533,5058.996799999999,1707.0032000000003,0.26407527144261456,0.5967203693622758,2827.6032000000005,19.0,0.0
plus_scarcity,clock,5,0.9365378614147847,5555.806,1210.1940000000002,0.1846186008332787,0.5556855266079779,2183.7940000000003,27.8,0.0
plus_scarcity,sealed,5,0.9776628878373401,5309.4092,1456.5908000000002,0.23164926461594432,0.49056164128667107,2714.3908,22.4,0.0
recommended,clock,5,0.9365378614147847,5555.806,1210.1940000000002,0.1846186008332787,0.5556855266079779,2183.7940000000003,27.8,0.0
recommended,sealed,5,0.990829328874589,5638.0163999999995,1127.9836,0.17362486739771338,0.2506951340572474,2491.7836,26.2,0.0
recommended_without_counterfactuals,clock,5,0.9424446837239315,5625.92,1140.0800000000002,0.17653111899070487,0.28476294327437807,2161.0800000000004,89.0,0.0
recommended_without_counterfactuals,sealed,5,0.9669795215893728,5414.984399999999,1351.0156000000002,0.20482680507365797,0.5126728133545575,2536.8156000000004,17.2,0.0
recommended_without_incumbent,clock,5,0.9152550568988568,5565.902800000001,1200.0971999999997,0.17794836211341292,0.5545682221448834,1913.6571999999996,16.2,0.0
recommended_without_incumbent,sealed,5,0.8939785775578635,5305.417200000001,1460.5827999999995,0.21610518179302657,0.5780739543611071,2019.7427999999993,9.4,0.0
recommended_without_large_correction,clock,5,0.9365378614147847,5555.806,1210.1940000000002,0.1846186008332787,0.5556855266079779,2183.7940000000003,27.8,0.0
recommended_without_large_correction,sealed,5,0.9776628878373401,5309.4092,1456.5908000000002,0.23164926461594432,0.49056164128667107,2714.3908,22.4,0.0
recommended_without_scarcity,clock,5,0.9362947828642827,5243.1792000000005,1522.8208,0.24906505211458282,0.5885007580395684,2496.4208,20.0,0.0
recommended_without_scarcity,sealed,5,0.9790764915479813,5292.1632,1473.8368,0.22204901460257803,0.45662694010688376,2744.4368000000004,20.6,0.0
