seed,case,series,x_value,num_goods,num_bidders,scenario,arm,efficiency,efficiency_pct,initial_efficiency,efficiency_gain_from_initial_pct,true_welfare,full_info_welfare,welfare_loss,revenue,full_info_revenue,revenue_difference,revenue_difference_pct,revenue_loss,revenue_absolute_percentage_error,payment_error_over_optimum_welfare,initial_revenue_loss,revenue_loss_improvement_from_initial,surplus,value_queries,demand_queries,nl_queries,person_queries,person_tokens_in,person_tokens_out,person_tokens_total,shared_proxy_tokens_in,shared_proxy_tokens_out,candidate_bundles_generated,candidate_bundles_sent_to_pv,candidate_bundles_truncated,pv_calibration_family,pv_calibration_scale,pv_calibration_size_gamma,pv_calibration_size_threshold,pv_calibration_budget_cap,pv_calibration_config_hash
0,anchor_8x8,anchor,8,8,8,pc_build_8x8_from_spec,proxy sealed,1.0,100.0,0.9618788291354663,3.8121170864533704,7345.0,7345.0,0.0,3929.59,5214.0,-1284.4099999999999,-24.63387034906022,0.2463387034906022,0.2463387034906022,0.17486861810755613,0.31219907940161096,0.06586037591100877,3415.41,16,0,0,16,7408,3229,10637,36900,7932,684,684,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,anchor_8x8,anchor,8,8,8,pc_build_8x8_from_spec,proxy sealed,0.9962168978562421,99.62168978562421,0.9349306431273644,6.128625472887772,7900.0,7930.0,30.0,5813.754,7084.0,-1270.246,-17.93119706380576,0.17931197063805762,0.17931197063805762,0.21973543505674648,0.32084867306606424,0.14153670242800662,2086.246,21,0,0,21,7547,3945,11492,44525,9115,936,936,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,anchor_8x8,anchor,8,8,8,pc_build_8x8_from_spec,proxy sealed,1.0,100.0,0.8740397350993377,12.596026490066226,7550.0,7550.0,0.0,5367.794,5738.0,-370.20600000000013,-6.451829905890556,0.06451829905890556,0.06451829905890556,0.04903390728476823,0.08437643778319989,0.01985813872429433,2182.206,58,0,0,58,7262,4811,12073,41423,8365,548,548,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,anchor_8x8,anchor,8,8,8,pc_build_8x8_from_spec,proxy sealed,0.9866459627329193,98.66459627329192,0.7521739130434782,23.447204968944103,6354.0,6440.0,86.0,4064.804,5364.0,-1299.196,-24.220656226696494,0.24220656226696494,0.24220656226696494,0.4219745341614906,0.28741200596569716,0.04520544369873222,2289.196,19,0,0,19,7490,4057,11547,56621,11308,864,864,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,anchor_8x8,anchor,8,8,8,pc_build_8x8_from_spec,proxy sealed,0.9712837837837838,97.12837837837837,0.883429054054054,8.785472972972974,11500.0,11840.0,340.0,9014.14,10430.0,-1415.8600000000006,-13.57488015340365,0.13574880153403648,0.13574880153403648,0.38786317567567563,0.19347459252157226,0.057725790987535774,2485.8600000000006,17,0,0,17,7097,3219,10316,50937,10471,756,756,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,bidders_8x4,bidders,4,8,4,pc_build_8x4_from_spec,proxy sealed,1.0,100.0,1.0,0.0,7163.0,7163.0,0.0,3272.938,3848.0,-575.0619999999999,-14.944438669438666,0.14944438669438667,0.14944438669438667,0.08028228395923494,0.2713045738045738,0.12186018711018712,3890.062,14,0,0,14,3777,1435,5212,24772,5573,444,444,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,bidders_8x4,bidders,4,8,4,pc_build_8x4_from_spec,proxy sealed,0.9305151915455746,93.05151915455745,0.9305151915455746,0.0,7044.0,7570.0,526.0,3900.5976,4900.5,-999.9024,-20.404089378634833,0.20404089378634832,0.20404089378634832,0.59520285336856,0.11159881644730117,-0.09244207733904715,3143.4024,10,0,0,10,3895,2314,6209,28011,5977,612,612,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,bidders_8x4,bidders,4,8,4,pc_build_8x4_from_spec,proxy sealed,0.8445130131473034,84.45130131473034,0.8638314998658438,-1.9318486718540417,6295.0,7454.0,1159.0,4563.1179999999995,3660.0,903.1179999999995,24.675355191256816,-0.24675355191256818,0.24675355191256818,0.2572640193184867,-0.28628469945355184,-0.03953114754098366,1731.8820000000005,56,0,0,56,3666,2535,6201,24101,5051,348,348,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,bidders_8x4,bidders,4,8,4,pc_build_8x4_from_spec,proxy sealed,0.8438871473354232,84.38871473354233,0.8297805642633229,1.4106583072100332,5384.0,6380.0,996.0,3165.464,4498.0,-1332.536,-29.625077812361052,0.2962507781236105,0.2962507781236105,0.3800357366771161,0.2289617607825698,-0.0672890173410407,2218.536,20,0,0,20,3799,2517,6316,29326,6187,428,428,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,bidders_8x4,bidders,4,8,4,pc_build_8x4_from_spec,proxy sealed,0.922639405204461,92.2639405204461,0.6863197026022305,23.631970260223046,9927.6,10760.0,832.3999999999996,6689.19,5397.4,1291.79,23.93356060325342,-0.2393356060325342,0.2393356060325342,0.35566821561338297,-0.38081113128543365,-0.14147552525289944,3238.4100000000008,10,0,0,10,3595,2090,5685,33459,7061,556,556,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
