scenario,scenario_seed,num_goods,num_bidders,top_k,round,prices_json,overdemanded_goods_json,num_overdemanded_goods,price_step,clock_terminated,termination_reason,num_events_this_round,num_near_tie_events,num_near_zero_surplus_events,num_demand_changed_events,num_top_k_frontier_events,num_allocation_counterfactual_events,num_allocation_pivotal_events,num_refinements_this_round,terminal_stability_audit_queries,terminal_stability_audit_iterations,new_value_queries,cumulative_value_queries,new_demand_queries,cumulative_demand_queries,new_tokens_in,cumulative_tokens_in,new_tokens_out,cumulative_tokens_out,supplementary_atoms_total,supplementary_atoms_new_this_round,candidate_atoms_total,finalise_true_welfare,finalise_reported_welfare,full_info_welfare,finalise_global_efficiency,mechanism_full_info_welfare,finalise_mechanism_relative_efficiency,finalise_revenue,finalise_true_surplus,finalise_allocation_repr,allocation_changed_from_previous_round,welfare_delta_from_previous_round
pc_build_6x6_from_spec,0,6,6,3,1,"{""CPU_HI"": 0.0, ""CPU_MID"": 0.0, ""MB_STD"": 0.0, ""RAM_64"": 0.0, ""SSD_2TB"": 0.0, ""SSD_4TB"": 0.0}","[""CPU_HI"", ""CPU_MID"", ""MB_STD"", ""RAM_64"", ""SSD_2TB"", ""SSD_4TB""]",6,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
pc_build_6x6_from_spec,0,6,6,3,2,"{""CPU_HI"": 50.0, ""CPU_MID"": 50.0, ""MB_STD"": 50.0, ""RAM_64"": 50.0, ""SSD_2TB"": 50.0, ""SSD_4TB"": 50.0}","[""CPU_HI"", ""CPU_MID"", ""MB_STD"", ""RAM_64"", ""SSD_2TB"", ""SSD_4TB""]",6,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
pc_build_6x6_from_spec,0,6,6,3,3,"{""CPU_HI"": 100.0, ""CPU_MID"": 100.0, ""MB_STD"": 100.0, ""RAM_64"": 100.0, ""SSD_2TB"": 100.0, ""SSD_4TB"": 100.0}","[""CPU_HI"", ""CPU_MID"", ""MB_STD"", ""RAM_64"", ""SSD_2TB"", ""SSD_4TB""]",6,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
pc_build_6x6_from_spec,0,6,6,3,4,"{""CPU_HI"": 150.0, ""CPU_MID"": 150.0, ""MB_STD"": 150.0, ""RAM_64"": 150.0, ""SSD_2TB"": 150.0, ""SSD_4TB"": 150.0}","[""CPU_HI"", ""CPU_MID"", ""MB_STD"", ""RAM_64"", ""SSD_2TB"", ""SSD_4TB""]",6,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
pc_build_6x6_from_spec,0,6,6,3,5,"{""CPU_HI"": 200.0, ""CPU_MID"": 200.0, ""MB_STD"": 200.0, ""RAM_64"": 200.0, ""SSD_2TB"": 200.0, ""SSD_4TB"": 200.0}","[""CPU_HI"", ""CPU_MID"", ""MB_STD"", ""RAM_64"", ""SSD_2TB"", ""SSD_4TB""]",6,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
pc_build_6x6_from_spec,0,6,6,3,6,"{""CPU_HI"": 250.0, ""CPU_MID"": 250.0, ""MB_STD"": 250.0, ""RAM_64"": 250.0, ""SSD_2TB"": 250.0, ""SSD_4TB"": 250.0}","[""CPU_HI"", ""CPU_MID"", ""RAM_64"", ""SSD_2TB"", ""SSD_4TB""]",5,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
pc_build_6x6_from_spec,0,6,6,3,7,"{""CPU_HI"": 300.0, ""CPU_MID"": 300.0, ""MB_STD"": 250.0, ""RAM_64"": 300.0, ""SSD_2TB"": 300.0, ""SSD_4TB"": 300.0}","[""CPU_HI"", ""CPU_MID"", ""MB_STD"", ""RAM_64"", ""SSD_2TB"", ""SSD_4TB""]",6,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
pc_build_6x6_from_spec,0,6,6,3,8,"{""CPU_HI"": 350.0, ""CPU_MID"": 350.0, ""MB_STD"": 300.0, ""RAM_64"": 350.0, ""SSD_2TB"": 350.0, ""SSD_4TB"": 350.0}","[""CPU_HI"", ""CPU_MID"", ""MB_STD"", ""RAM_64"", ""SSD_2TB"", ""SSD_4TB""]",6,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
pc_build_6x6_from_spec,0,6,6,3,9,"{""CPU_HI"": 400.0, ""CPU_MID"": 400.0, ""MB_STD"": 350.0, ""RAM_64"": 400.0, ""SSD_2TB"": 400.0, ""SSD_4TB"": 400.0}","[""CPU_HI"", ""CPU_MID"", ""RAM_64"", ""SSD_4TB""]",4,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
pc_build_6x6_from_spec,0,6,6,3,10,"{""CPU_HI"": 450.0, ""CPU_MID"": 450.0, ""MB_STD"": 350.0, ""RAM_64"": 450.0, ""SSD_2TB"": 400.0, ""SSD_4TB"": 450.0}","[""CPU_HI"", ""CPU_MID"", ""RAM_64"", ""SSD_4TB""]",4,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
pc_build_6x6_from_spec,0,6,6,3,11,"{""CPU_HI"": 500.0, ""CPU_MID"": 500.0, ""MB_STD"": 350.0, ""RAM_64"": 500.0, ""SSD_2TB"": 400.0, ""SSD_4TB"": 500.0}","[""CPU_HI"", ""MB_STD"", ""SSD_4TB""]",3,50.0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,6640.0,5091.51,6640.0,1.0,6640.0,1.0,2700.713999999999,3939.286000000001,"creative_professional:[CPU_HI,SSD_4TB];office_user:[];overclocker:[];small_business_it:[];software_developer:[CPU_MID,MB_STD,RAM_64,SSD_2TB];system_integrator:[]",False,0.0
